"Address","Coordinates"
"8355 Hauptstrasse, Aadorf ","8.898955300000015,47.491372000000304"
"8533 Chatelstrasse, Aadorf ","8.901297899999998,47.48993550000016"
"8355 Sch��tzenstrasse, Aadorf ","8.90394109999999,47.49196860000057"
"8355 Leimackerstrasse, Aadorf ","8.902632399999991,47.49333020000057"
"8355 Leimackerweg, Aadorf ","8.902368399999991,47.49381980000057"
"8355 Wiesentalstrasse, Aadorf ","8.903942299999992,47.491909600000575"
"8355 Leimackerweg, Aadorf ","8.902338499999992,47.49409750000058"
"8355 Leimackerstrasse, Aadorf ","8.902535299999991,47.493803000000575"
"8355 Leimackerstrasse, Aadorf ","8.90249539999999,47.49409750000058"
"8355 Bahnhofstrasse, Aadorf ","8.905363100000015,47.48759610000025"
"8355 Bohlstrasse, Aadorf ","8.905391700000015,47.48765660000025"
"8355 Bahnhofstrasse, Aadorf ","8.902495700000017,47.4889483000003"
"8355 Ch��telstrasse, Aadorf ","8.902416900000016,47.4889967000003"
"8355 Bahnhofstrasse, Aadorf ","8.902978900000017,47.4887088000003"
"8355 Ch��telstrasse, Aadorf ","8.902603100000016,47.488921700000304"
"8355 Ch��telstrasse, Aadorf ","8.903064900000016,47.4887330000003"
"8355 G��terstrasse, Aadorf ","8.900090100000016,47.4896764000003"
"8355 Morgentalstrasse, Aadorf ","8.899105700000016,47.4914253000003"
"8355 Leimackerweg, Aadorf ","8.90256759999999,47.493335200000566"
"5000 Reutlingerstrasse, Aarau ","8.051313400000005,47.38219190000005"
"5000 Graben, Aarau ","8.045160100000002,47.39189350000009"
"5000 Pelzgasse, Aarau ","8.044838500000003,47.392520200000085"
"5000 Bahnhofstrasse, Aarau ","8.05137369999998,47.3920826999999"
"5000 Bahnhofstrasse, Aarau ","8.052148399999979,47.39228969999991"
"5000 Rathausgasse, Aarau ","8.0436541,47.3930021"
"5000 Aarestrasse, Aarau ","8.044556599999998,47.3966797999999"
"5000 Aarestrasse, Aarau ","8.044896999999999,47.3968006999999"
"5000 Aarestrasse, Aarau ","8.045022999999999,47.3967190999999"
"5000 Aarestrasse, Aarau ","8.045425599999998,47.3969136999999"
"5000 Kasinostrasse, Aarau ","8.046692700000005,47.39198390000006"
"5000 Metzgergasse, Aarau ","8.043941800000004,47.39339410000005"
"5001 Hintere Vorstadt, Aarau ","8.045487099999985,47.391181399999894"
"5000 Kasinostrasse, Aarau ","8.047461899999986,47.391517599999894"
"5000 Industriestrasse, Aarau ","8.057846200000018,47.392419500000095"
"5000 Rathausgasse, Aarau ","8.044302700000024,47.39237400000002"
"5000 Zollrain, Aarau ","8.043577200000021,47.39360970000003"
"5000 Bifangstrasse, Aarau ","8.042091899999999,47.399131899999965"
"5000 Bahnhofstrasse, Aarau ","8.050523499999997,47.39213839999998"
"5004 R��tmattstrasse, Aarau ","8.059204799999993,47.399273000000015"
"5004 R��tmattstrasse, Aarau ","8.059014299999992,47.401748800000014"
"5000 Bahnhofstrasse, Aarau ","8.05309070000003,47.392359699999986"
"5000 Pelzgasse, Aarau ","8.044907000000032,47.39257659999998"
"5000 Pelzgasse, Aarau ","8.044701100000033,47.39246659999998"
"5000 Pelzgasse, Aarau ","8.044577000000032,47.39241759999998"
"5000 Zollrain, Aarau ","8.043447000000032,47.39369409999998"
"5000 Rathausgasse, Aarau ","8.043884700000033,47.392796799999985"
"5000 Hammer, Aarau ","8.043877199999999,47.394166999999904"
"5000 Bahnhofstrasse, Aarau ","8.047838700000018,47.39185849999992"
"5000 Bahnhofstrasse, Aarau ","8.048092599999995,47.39143520000024"
"5000 Rathausgasse, Aarau ","8.043163299999978,47.39340960000034"
"5000 Rain, Aarau ","8.044478899999982,47.39042180000035"
"5000 Vordere Vorstadt, Aarau ","8.044940299999983,47.390517100000345"
"5000 Vordere Vorstadt, Aarau ","8.045024799999982,47.39055620000035"
"5000 Vordere Vorstadt, Aarau ","8.044928199999983,47.39071320000035"
"5000 Vordere Vorstadt, Aarau ","8.044961699999984,47.390647900000346"
"5000 Rain, Aarau ","8.044376999999985,47.39040730000035"
"5000 Rain, Aarau ","8.044347499999985,47.39059160000035"
"5000 Rain, Aarau ","8.044364899999985,47.390649700000345"
"5000 Igelweid, Aarau ","8.046128499999986,47.39174010000035"
